City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Surat,IN,80.58,haze,21.1667,72.8333,HOTEL RUCHIRAJ
2,Rikitea,PF,76.57,clear sky,-23.1203,-134.9692,People ThankYou
4,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
5,Srandakan,ID,83.89,overcast clouds,-7.9386,110.2506,Puri Brata
9,Butaritari,KI,81.09,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Doha,QA,71.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
12,Byron Bay,AU,71.55,light rain,-28.65,153.6167,Backpackers Inn
14,Cidreira,BR,70.21,few clouds,-30.1811,-50.2056,Hotel Castelo
15,Kouroussa,GN,70.66,overcast clouds,10.65,-9.8833,Hotel Paillote
17,Hobart,AU,83.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
19,Tarakan,ID,87.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
20,Sao Raimundo Das Mangabeiras,BR,71.8,overcast clouds,-7.0219,-45.4811,Hotel Tropical
30,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Meulaboh,ID,79.29,overcast clouds,4.1363,96.1285,Kost Pria
34,Raga,SS,76.03,broken clouds,8.4596,25.678,
38,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
39,Naze,JP,74.32,scattered clouds,28.3667,129.4833,Shishime Hotel
42,Flinders,AU,76.28,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
47,Vao,NC,76.77,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
53,Mabay,PH,83.41,moderate rain,6.0577,124.4666,Bautista Lodging House
54,Sibu,MY,88.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
56,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
58,Batemans Bay,AU,80.2,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
59,Itanagar,IN,70.43,scattered clouds,27.1,93.6167,Hotel Moomsie Itanagar
66,Airai,TL,75.81,broken clouds,-8.9266,125.4092,Juvinal Martin
68,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
70,Bengkulu,ID,78.89,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,Mogadishu,SO,78.67,clear sky,2.0371,45.3438,Hotel Juba
83,Mwandiga,TZ,71.31,moderate rain,-4.83,29.6581,One Point
86,Atambua,ID,86.07,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
93,Puri,IN,75.38,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
96,Hithadhoo,MV,81.5,scattered clouds,-0.6,73.0833,Scoop Guest House
98,Warrnambool,AU,83.8,clear sky,-38.3833,142.4833,Lady Bay Resort
109,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
110,Kribi,CM,77.97,moderate rain,2.95,9.9167,La Grace Hôtel
111,Sao Joao Da Barra,BR,74.25,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
119,Buala,SB,84.16,light rain,-8.145,159.5921,Maringe Lagoon Lodge
120,Busselton,AU,70.45,scattered clouds,-33.65,115.3333,Observatory Guest House
125,Soc Trang,VN,75.16,overcast clouds,9.6033,105.98,Phu Quy Hotel
126,Inhambane,MZ,76.98,broken clouds,-23.865,35.3833,Oceano
133,Victoria,HK,78.24,clear sky,22.2855,114.1577,Mini Hotel Central
136,Ambon,ID,87.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
137,Maragogi,BR,77.31,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
139,Saint-Pierre,RE,82.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
140,Orange,US,72.48,clear sky,33.7,-117.7675,Meadows
142,Danshui,CN,77.94,clear sky,22.7984,114.4672,Grand Skylight International Hotel Huizhou
143,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
147,Port Lincoln,AU,81.23,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
148,Sabya,SA,76.62,clear sky,17.1495,42.6254,Aseel Hotel Apartment
150,Hilo,US,71.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
